Airline	Source	Destination
AA	SFO	CLT
AA	SFO	DFW
AA	SFO	HKG
AA	SFO	HND
AA	SFO	JFK
AA	SFO	LAX
AA	SFO	LHR
AA	SFO	MIA
AA	SFO	ORD
AA	SFO	PDX
AA	SFO	PHL
AA	SFO	PHX
AA	SFO	PSP
AA	SFO	PVR
AA	SFO	SEA
AC	SFO	YEG
AC	SFO	YUL
AC	SFO	YVR
AC	SFO	YYC
AC	SFO	YYJ
AC	SFO	YYZ
AF	SFO	ATL
AF	SFO	CDG
AF	SFO	HNL
AI	SFO	HKG
AI	SFO	ICN
AM	SFO	ATL
AM	SFO	BJX
AM	SFO	GDL
AM	SFO	MEX
AM	SFO	MLM
AM	SFO	PVR
AM	SFO	SJD
AS	SFO	DFW
AS	SFO	JFK
AS	SFO	LAX
AS	SFO	MIA
AS	SFO	ORD
AS	SFO	PDX
AS	SFO	PSP
AS	SFO	PVR
AS	SFO	SEA
AS	SFO	SJD
AV	SFO	SAL
AY	SFO	LHR
AZ	SFO	ATL
AZ	SFO	CDG
B6	SFO	AUS
B6	SFO	BOS
B6	SFO	DXB
B6	SFO	FLL
B6	SFO	JFK
B6	SFO	LGB
BA	SFO	LHR
BR	SFO	TPE
CA	SFO	PEK
CA	SFO	PVG
CI	SFO	ATL
CI	SFO	TPE
CX	SFO	HKG
DL	SFO	AMS
DL	SFO	ATL
DL	SFO	CDG
DL	SFO	CVG
DL	SFO	DTW
DL	SFO	HNL
DL	SFO	ICN
DL	SFO	JFK
DL	SFO	LAX
DL	SFO	LHR
DL	SFO	MEX
DL	SFO	MSP
DL	SFO	PSP
DL	SFO	PVG
DL	SFO	SEA
DL	SFO	SLC
DL	SFO	TPE
EI	SFO	DUB
EK	SFO	DXB
F9	SFO	DEN
FL	SFO	ATL
FL	SFO	DEN
FL	SFO	MDW
FL	SFO	MKE
FL	SFO	ORF
HA	SFO	HNL
HA	SFO	LAS
IB	SFO	LHR
JL	SFO	HND
KE	SFO	ICN
KL	SFO	AMS
KL	SFO	ATL
KL	SFO	HNL
KL	SFO	SEA
LH	SFO	FRA
LH	SFO	LHR
LH	SFO	MUC
LX	SFO	ZRH
MU	SFO	PVG
NH	SFO	KIX
NH	SFO	NRT
NZ	SFO	AKL
NZ	SFO	ATL
NZ	SFO	FRA
NZ	SFO	GDL
NZ	SFO	LHR
NZ	SFO	MEX
NZ	SFO	SYD
OZ	SFO	ICN
PR	SFO	MNL
SK	SFO	CPH
SQ	SFO	HKG
SQ	SFO	ICN
SY	SFO	MSP
UA	SFO	ABQ
UA	SFO	ACV
UA	SFO	AKL
UA	SFO	ATL
UA	SFO	AUS
UA	SFO	BFL
UA	SFO	BOI
UA	SFO	BOS
UA	SFO	BUR
UA	SFO	BWI
UA	SFO	CDG
UA	SFO	CEC
UA	SFO	CIC
UA	SFO	CLE
UA	SFO	COS
UA	SFO	CUN
UA	SFO	DCA
UA	SFO	DEN
UA	SFO	DFW
UA	SFO	EUG
UA	SFO	EWR
UA	SFO	FAT
UA	SFO	FLL
UA	SFO	FRA
UA	SFO	GDL
UA	SFO	HKG
UA	SFO	HNL
UA	SFO	IAD
UA	SFO	IAH
UA	SFO	ICN
UA	SFO	IND
UA	SFO	JFK
UA	SFO	KIX
UA	SFO	KOA
UA	SFO	LAS
UA	SFO	LAX
UA	SFO	LHR
UA	SFO	LIH
UA	SFO	LMT
UA	SFO	MCI
UA	SFO	MCO
UA	SFO	MEX
UA	SFO	MFR
UA	SFO	MOD
UA	SFO	MRY
UA	SFO	MSP
UA	SFO	MSY
UA	SFO	MUC
UA	SFO	NRT
UA	SFO	OGG
UA	SFO	OKC
UA	SFO	ONT
UA	SFO	ORD
UA	SFO	OTH
UA	SFO	PDX
UA	SFO	PEK
UA	SFO	PHL
UA	SFO	PHX
UA	SFO	PIT
UA	SFO	PSC
UA	SFO	PSP
UA	SFO	PVG
UA	SFO	PVR
UA	SFO	RDD
UA	SFO	RDM
UA	SFO	RDU
UA	SFO	RNO
UA	SFO	SAL
UA	SFO	SAN
UA	SFO	SAT
UA	SFO	SBA
UA	SFO	SBP
UA	SFO	SEA
UA	SFO	SJD
UA	SFO	SLC
UA	SFO	SMF
UA	SFO	SNA
UA	SFO	STL
UA	SFO	SYD
UA	SFO	TPE
UA	SFO	TUS
UA	SFO	YEG
UA	SFO	YUL
UA	SFO	YVR
UA	SFO	YYC
UA	SFO	YYJ
UA	SFO	YYZ
UA	SFO	ZRH
UN	SFO	LHR
US	SFO	AKL
US	SFO	CLT
US	SFO	DFW
US	SFO	HKG
US	SFO	ICN
US	SFO	JFK
US	SFO	LAX
US	SFO	MIA
US	SFO	ORD
US	SFO	PEK
US	SFO	PHL
US	SFO	PHX
US	SFO	SAL
US	SFO	TPE
VS	SFO	ATL
VS	SFO	LHR
VX	SFO	AUS
VX	SFO	BOS
VX	SFO	CUN
VX	SFO	DCA
VX	SFO	DFW
VX	SFO	EWR
VX	SFO	FLL
VX	SFO	IAD
VX	SFO	JFK
VX	SFO	LAS
VX	SFO	LAX
VX	SFO	MCO
VX	SFO	ORD
VX	SFO	PDX
VX	SFO	PHL
VX	SFO	PVR
VX	SFO	SAN
VX	SFO	SEA
VX	SFO	SJD
WN	SFO	ATL
WN	SFO	DEN
WN	SFO	LAS
WN	SFO	LAX
WN	SFO	MDW
WN	SFO	MKE
WN	SFO	PHX
WN	SFO	SAN
WN	SFO	SNA
WS	SFO	YVR
WS	SFO	YYC
